step,image_filename,action,inference_time
225,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0225.jpg,forward,0.049646615982055664
226,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0226.jpg,forward,0.051774024963378906
227,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0227.jpg,forward,0.049277544021606445
228,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0228.jpg,left,0.04332995414733887
229,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0229.jpg,forward,0.0510556697845459
230,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0230.jpg,left,0.057415008544921875
231,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0231.jpg,left,0.05470991134643555
232,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0232.jpg,forward,0.056234121322631836
233,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0233.jpg,forward,0.054956912994384766
234,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0234.jpg,forward,0.06853413581848145
235,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0235.jpg,left,0.054869890213012695
236,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0236.jpg,forward,0.04728436470031738
237,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0237.jpg,forward,0.04677844047546387
238,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0238.jpg,left,0.04671883583068848
239,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0239.jpg,right,0.0489964485168457
240,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0240.jpg,left,0.04422712326049805
241,/home/jetbot/arcs/OldenborgAutonomousNavigation/jetbot/saved_images/0241.jpg,forward,0.05430197715759277
